user_id,item_id,item_name,playtime_forever
76561198042879129,231430,Company of Heroes 2,8040
dumbassscout2005,376870,Minecraft: Story Mode - A Telltale Games Series,661
76561198069824038,730,Counter-Strike: Global Offensive,92752
FaydOfficial,730,Counter-Strike: Global Offensive,122871
jn0286,200510,XCOM: Enemy Unknown,5314
lobbie,730,Counter-Strike: Global Offensive,25106
zyr0n1c,230410,Warframe,9192
Hexeus,328500,Potatoman Seeks the Troof,314
quangcaol,550,Left 4 Dead 2,5495
TheGameAndWatch,71340,Sonic Generations,40
76561198055579125,240,Counter-Strike: Source,5557
76561198072353989,209650,Call of Duty: Advanced Warfare,15
76561198033887983,209870,Blacklight: Retribution,309
Theraxel,8870,BioShock Infinite,955
76561198083368303,24960,Battlefield: Bad Company 2,12630
flazep,730,Counter-Strike: Global Offensive,70658
rrbr,244050,Rise of Flight United,15
FeatInk,8870,BioShock Infinite,644
somefode,730,Counter-Strike: Global Offensive,2631
yourlittlescarecrow,1250,Killing Floor,2402
JamsL33T,730,Counter-Strike: Global Offensive,29821
76561198026239418,730,Counter-Strike: Global Offensive,55486
urahomo,8930,Sid Meier's Civilization V,5093
jessicax0,377160,Fallout 4,4946
Katidis,10,Counter-Strike,2498
PigdogGetSome,377160,Fallout 4,3684
creamlc,204100,Max Payne 3,3151
76561198189432654,730,Counter-Strike: Global Offensive,58633
76561198070714959,235460,METAL GEAR RISING: REVENGEANCE,1852
76561198050693364,730,Counter-Strike: Global Offensive,79593
ronzack,24010,Train Simulator,241
Tokiwadai,10,Counter-Strike,17
TehMLGPanda,730,Counter-Strike: Global Offensive,17256
SILENTLIGHT,40800,Super Meat Boy,143
h00py,70,Half-Life,810
76561197988762135,22600,Worms Reloaded,1004
76561198085321660,730,Counter-Strike: Global Offensive,5457
plessss,10180,Call of Duty: Modern Warfare 2,339
76561198082096463,369580,NotGTAV,46
That_Chap,22370,Fallout 3 - Game of the Year Edition,34
76561198232483600,730,Counter-Strike: Global Offensive,98647
76561198082647315,550,Left 4 Dead 2,1017
76561198066662465,8870,BioShock Infinite,405
Denroxyou,282440,Quake Live,2781
76561198022404680,9200,RAGE,6055
76561198023478539,4580,"Warhammer 40,000: Dawn of War – Dark Crusade",11869
dsmob,730,Counter-Strike: Global Offensive,70782
aussiepommy,230410,Warframe,140275
dogrider,230410,Warframe,24284
smokeypsd,250320,The Wolf Among Us,828
76561198082142359,730,Counter-Strike: Global Offensive,7899
Letachal,220,Half-Life 2,1771
foxer007,47870,Need for Speed: Hot Pursuit,804
76561198087556976,55230,Saints Row: The Third,1085
aymosh9011,730,Counter-Strike: Global Offensive,23243
getMemMeED,8930,Sid Meier's Civilization V,1726
chickenfish4,250900,The Binding of Isaac: Rebirth,1792
whiteofwolfing,730,Counter-Strike: Global Offensive,94334
GANDPUG,6060,STAR WARS™ Battlefront™ II,9238
76561198029634836,550,Left 4 Dead 2,4502
flatwhite,240,Counter-Strike: Source,6083
76561198074479756,261030,The Walking Dead: Season Two,1551
76561198060201321,10090,Call of Duty: World at War,5812
76561198100726428,730,Counter-Strike: Global Offensive,49848
76561198059286499,730,Counter-Strike: Global Offensive,2179
76561198091976678,1930,Two Worlds: Epic Edition,2171
chandlerthewise,310370,The Way of Life Free Edition,15
bonamb,8930,Sid Meier's Civilization V,2031
76561198044116529,4580,"Warhammer 40,000: Dawn of War – Dark Crusade",6491
76561198085936560,230410,Warframe,5685
sexyduck128,730,Counter-Strike: Global Offensive,49966
kuroTENSHI_bread,550,Left 4 Dead 2,66843
inw019777,730,Counter-Strike: Global Offensive,19674
76561198066916378,6060,STAR WARS™ Battlefront™ II,5646
76561198042879129,377160,Fallout 4,22253
76561198063316459,550,Left 4 Dead 2,2124
OfficialLandyy,730,Counter-Strike: Global Offensive,109401
76561198069049572,220,Half-Life 2,97
76561198064948275,10090,Call of Duty: World at War,481
venoix,261030,The Walking Dead: Season Two,331
Jersssh,730,Counter-Strike: Global Offensive,41560
76561197979046612,9200,RAGE,1354
wheelsod,57900,Duke Nukem Forever,973
76561198060734387,730,Counter-Strike: Global Offensive,40410
LucasArthur,231430,Company of Heroes 2,9793
76561198098364705,730,Counter-Strike: Global Offensive,62072
AdonSinky,332800,Five Nights at Freddy's 2,166
savegamereview,550,Left 4 Dead 2,3545
Lancelotxoxo,730,Counter-Strike: Global Offensive,76033
76561198096736743,230410,Warframe,95344
agent_tarm,730,Counter-Strike: Global Offensive,31111
controgopher,237110,Mortal Kombat Komplete Edition,209
TheSuccIsGudd,250320,The Wolf Among Us,386
Teknoe,200510,XCOM: Enemy Unknown,12393
76561198024484835,209870,Blacklight: Retribution,1050
76561198043130826,202970,Call of Duty: Black Ops II,1529
Kawaiiboo_Hunter,282440,Quake Live,135
76561198067582240,8870,BioShock Infinite,3321
theempireendures,51100,Tactical Intervention,631
enVusGaming,730,Counter-Strike: Global Offensive,6647
staecrh,8870,BioShock Infinite,1110
xxrileyyzz,10180,Call of Duty: Modern Warfare 2,300
sandgroper,40800,Super Meat Boy,121
76561198044621638,17470,Dead Space,932
cthdarren,730,Counter-Strike: Global Offensive,81482
76561198034888931,273350,Evolve Stage 2,3409
TheUnderdog2020,40800,Super Meat Boy,3259
76561198055156382,250320,The Wolf Among Us,335
76561198091095932,730,Counter-Strike: Global Offensive,14782
wagzy,261030,The Walking Dead: Season Two,689
76561198055055523,730,Counter-Strike: Global Offensive,78331
FaggotofWisdom,6020,STAR WARS™ Jedi Knight: Jedi Academy™,1367
76561198034438267,320,Half-Life 2: Deathmatch,461
76561198076481365,4760,Rome: Total War,5786
76561198060351220,550,Left 4 Dead 2,30933
KoopaRed,550,Left 4 Dead 2,1855
jomerboy,550,Left 4 Dead 2,976
76561198043441689,730,Counter-Strike: Global Offensive,68790
76561198101278301,730,Counter-Strike: Global Offensive,23146
kevinator23,730,Counter-Strike: Global Offensive,21527
76561198075738409,550,Left 4 Dead 2,613
Admiral_Skye,386070,Planetary Annihilation: TITANS,658
76561198089668873,230410,Warframe,813
jichaelcoaching,377160,Fallout 4,4124
K1NGCJS,730,Counter-Strike: Global Offensive,90174
Killaruana,391460,WARMODE,256
JagerIsAmazing,261030,The Walking Dead: Season Two,427
76561198056960847,230410,Warframe,11688
76561197970097668,6910,Deus Ex: Game of the Year Edition,2042
76561198052851877,230410,Warframe,8341
76561198025628522,207610,The Walking Dead,907
76561198085734937,12120,Grand Theft Auto: San Andreas,3140
valeiskill,730,Counter-Strike: Global Offensive,91781
76561198048230501,230410,Warframe,49826
TSGStosh,8930,Sid Meier's Civilization V,27937
Wrathofwar,273350,Evolve Stage 2,188
76561197996935989,209650,Call of Duty: Advanced Warfare,643
maaatzbr,209650,Call of Duty: Advanced Warfare,850
Gaming_lover,730,Counter-Strike: Global Offensive,27499
SoumiKim,222750,Wargame: AirLand Battle,2532
76561198094511613,230410,Warframe,3311
frozout,213850,Magic 2014 ,2040
BlurredPortrait,730,Counter-Strike: Global Offensive,104153
brownscarf,8930,Sid Meier's Civilization V,2848
76561198082881423,240,Counter-Strike: Source,699
tthebee,1250,Killing Floor,13883
76561198040188061,99300,Renegade Ops,1662
abhinavfire5,330830,Tales from the Borderlands,796
imdagiver,208480,Assassin's Creed® III,2332
ShadowExtreme,730,Counter-Strike: Global Offensive,110019
76561198036645438,22330,The Elder Scrolls IV: Oblivion ,1836
esema1234,51100,Tactical Intervention,112
Demalice,8930,Sid Meier's Civilization V,9574
76561198130453291,730,Counter-Strike: Global Offensive,5626
dontreee,34870,Sniper Ghost Warrior 2,82
76561198028727445,200510,XCOM: Enemy Unknown,4629
Jnmbl,730,Counter-Strike: Global Offensive,122759
76561198095238263,230410,Warframe,1048
D-Frag,376870,Minecraft: Story Mode - A Telltale Games Series,390
76561198052396307,550,Left 4 Dead 2,176
76561198069590590,1930,Two Worlds: Epic Edition,1701
MoaRGaYbACoNStRiPs,550,Left 4 Dead 2,1168
_Minja,730,Counter-Strike: Global Offensive,32922
mytesticlelolol,333930,Dirty Bomb,10637
xoeairrr,214190,Minimum,132
torvexinator,242700,Injustice: Gods Among Us Ultimate Edition,627
TwoPixel,220,Half-Life 2,660
76561198083640655,202970,Call of Duty: Black Ops II,486
76561198027601501,10500,Empire: Total War,11445
edgar_its_the_popo,232090,Killing Floor 2,8271
27073108,730,Counter-Strike: Global Offensive,70016
76561198066639843,64000,Men of War: Assault Squad,3571
bigfoot57,8930,Sid Meier's Civilization V,9332
TweakFolfsky,39670,Chaser,1111
Leafthefur,335330,Brick-Force,11
DoomsDay39,730,Counter-Strike: Global Offensive,45396
sdfesdfes,17080,Tribes: Ascend,2838
asnnerd,240,Counter-Strike: Source,2637
DeepCrysis,730,Counter-Strike: Global Offensive,22475
damo4lyf,202970,Call of Duty: Black Ops II,978
leng100,6860,Hitman: Blood Money,1039
76561198065269662,376870,Minecraft: Story Mode - A Telltale Games Series,1352
76561198069623107,730,Counter-Strike: Global Offensive,24223
Esodota,730,Counter-Strike: Global Offensive,26060
DefNotPeter,222750,Wargame: AirLand Battle,6483
76561198040511651,1250,Killing Floor,6932
76561198090567864,221380,Age of Empires II: HD Edition,4248
ysarge,9480,Saints Row 2,6881
creative_url,45760,Ultra Street Fighter IV,6575
RestingPeices,1250,Killing Floor,1387
NUZXD,15620,"Warhammer® 40,000™: Dawn of War® II",780
salan8973598,40100,Supreme Commander 2,132
76561198107235245,10,Counter-Strike,25188
ninjaraiden,550,Left 4 Dead 2,2624
76561198080651606,3920,Sid Meier's Pirates!,677
76561198058473768,730,Counter-Strike: Global Offensive,33132
76561198056290589,730,Counter-Strike: Global Offensive,55168
mylordbendtner,370240,NBA 2K16,1083
RedBearAKM,64000,Men of War: Assault Squad,4632
76561198021437758,730,Counter-Strike: Global Offensive,65569
76561198100899460,202970,Call of Duty: Black Ops II,5
ArrestMe,550,Left 4 Dead 2,1005
ashcraft11,730,Counter-Strike: Global Offensive,33345
76561198092310770,730,Counter-Strike: Global Offensive,63636
_Minja,10500,Empire: Total War,5189
76561198042212007,730,Counter-Strike: Global Offensive,58914
76561198077266421,40100,Supreme Commander 2,1731
GeometryWarsFTW,8400,Geometry Wars: Retro Evolved,19633
76561198080806638,221380,Age of Empires II: HD Edition,1467
76561198037509696,1250,Killing Floor,1463
TheRealMagik,280,Half-Life: Source,688
FlashFlood28,730,Counter-Strike: Global Offensive,50235
76561198070818913,230410,Warframe,94790
jacobissick,55230,Saints Row: The Third,1152
76561198077684524,230410,Warframe,7022
Kyall,386360,SMITE,3472
teh_pwnerer_7,377160,Fallout 4,4858
76561198117168994,209870,Blacklight: Retribution,1327
76561198061818198,730,Counter-Strike: Global Offensive,11393
spaghettimmmgoodsphaget,377160,Fallout 4,3806
mathzar,63380,Sniper Elite V2,85
iamnotcool,730,Counter-Strike: Global Offensive,35111
76561198079650317,34900,Bad Rats,48
maculain,47780,Dead Space 2,1274
toodybb,730,Counter-Strike: Global Offensive,23047
juhurik,730,Counter-Strike: Global Offensive,10758
THEGHOST646,12830,Operation Flashpoint: Dragon Rising,478
76561198070677367,730,Counter-Strike: Global Offensive,61390
the_mad_doctor123,1250,Killing Floor,4431
jubjub727,332310,LEGO® Worlds,587
elijahwells,730,Counter-Strike: Global Offensive,62876
76561198066639517,38420,Fallout Tactics,4617
samham1,730,Counter-Strike: Global Offensive,10114
pippipcheeriommmbangersandmash,270210,Melody's Escape,444
76561198044023118,232090,Killing Floor 2,3807
8j2c4,6060,STAR WARS™ Battlefront™ II,6097
zayzayem,550,Left 4 Dead 2,12670
Morgo_cs,550,Left 4 Dead 2,1312
Lubnut,1250,Killing Floor,964
carebearsgalore,550,Left 4 Dead 2,1397
Smoobss,40800,Super Meat Boy,556
76561198100513560,209650,Call of Duty: Advanced Warfare,673
76561198064619367,237110,Mortal Kombat Komplete Edition,260
76561198035597932,231430,Company of Heroes 2,3576
Naranjita3560,12900,Audiosurf,894
majorduck,231430,Company of Heroes 2,1686
76561198093737741,55230,Saints Row: The Third,3294
Turtleboy2001,730,Counter-Strike: Global Offensive,23467
76561198070072786,400,Portal,355
snubbo,34900,Bad Rats,7
76561198080826720,4700,Medieval II: Total War,16812
76561198089228252,232090,Killing Floor 2,1264
EPGPenguin,230410,Warframe,4200
76561198055894293,730,Counter-Strike: Global Offensive,57896
TheRealMeatyMate,24240,PAYDAY: The Heist,1955
ac_elite,6060,STAR WARS™ Battlefront™ II,654
76561198074506980,730,Counter-Strike: Global Offensive,13644
76561198046740784,67370,The Darkness II,335
timasaurus,7660,X-COM: Apocalypse,849
4801,730,Counter-Strike: Global Offensive,200385
elektro_haus,730,Counter-Strike: Global Offensive,19258
gary1q2,40800,Super Meat Boy,293
36_T,730,Counter-Strike: Global Offensive,24595
FrostyBlizzard,8930,Sid Meier's Civilization V,11220
W33dl3y,369580,NotGTAV,305
mrscruff30,330830,Tales from the Borderlands,362
76561197981277493,17390,Spore,1096
HostileTemper,730,Counter-Strike: Global Offensive,57259
psyfoe,391460,WARMODE,191
daxtus,400,Portal,1426
BOB_200,8400,Geometry Wars: Retro Evolved,74
76561198077811980,240,Counter-Strike: Source,27791
76561197984390941,10180,Call of Duty: Modern Warfare 2,2118
mrloopyland,313160,Farming Simulator 15,1863
76561198079378923,204450,Call of Juarez Gunslinger,589
jtrkyr,20920,The Witcher 2: Assassins of Kings Enhanced Edition,1008
76561198084544554,32440,LEGO® Star Wars™: The Complete Saga,708
black-foxx,209650,Call of Duty: Advanced Warfare,548
jtrigueros03ohyeah,730,Counter-Strike: Global Offensive,23160
joeshoer,730,Counter-Strike: Global Offensive,21275
76561198083711394,63380,Sniper Elite V2,1869
76561198084622842,730,Counter-Strike: Global Offensive,77075
Zacmoo0007,6020,STAR WARS™ Jedi Knight: Jedi Academy™,2672
76561198072296324,1250,Killing Floor,204
76561198079518744,207610,The Walking Dead,1020
76561198099805615,230410,Warframe,10028
76561198026262441,8930,Sid Meier's Civilization V,13329
76561198061775209,4700,Medieval II: Total War,4374
auschandler,400,Portal,285
geroucien,8870,BioShock Infinite,8311
manuelitotd,205950,Jet Set Radio,1395
Akula_941,231430,Company of Heroes 2,56188
76561198004638606,251150,The Legend of Heroes: Trails in the Sky,13616
leadri,250900,The Binding of Isaac: Rebirth,13934
NosmasAtLan,730,Counter-Strike: Global Offensive,35169
76561198064702734,730,Counter-Strike: Global Offensive,21854
legitsymbol,377160,Fallout 4,2953
76561198090548543,730,Counter-Strike: Global Offensive,42790
youngbenaffleck,730,Counter-Strike: Global Offensive,32315
76561198074111910,550,Left 4 Dead 2,14142
tesreat,220,Half-Life 2,600
-Ultrix,70,Half-Life,5713
76561198073676219,251170,Damned,908
RAINZFOXX,70,Half-Life,855
Letachal,207610,The Walking Dead,1138
CaptainTitus,373180,Kung Fury: Street Rage,20
trueyena,730,Counter-Strike: Global Offensive,61382
GraytheCat,230410,Warframe,7199
UltiEplosem,8870,BioShock Infinite,450
76561198099532181,55230,Saints Row: The Third,695
ApexNZ,245490,Trials Fusion,1271
NeoZenith1,730,Counter-Strike: Global Offensive,294
76561198180904743,8930,Sid Meier's Civilization V,1584
76561198069668522,730,Counter-Strike: Global Offensive,39600
Gamester101,550,Left 4 Dead 2,3994
76561198094344083,209160,Call of Duty: Ghosts,529
76561198032873398,200510,XCOM: Enemy Unknown,1303
76561198050242155,730,Counter-Strike: Global Offensive,30712
kyleultra128,209160,Call of Duty: Ghosts,377
AdamRE6,230410,Warframe,68021
chewyi,22350,BRINK,808
FireHalo,730,Counter-Strike: Global Offensive,32112
blacknigel,40800,Super Meat Boy,457
76561198054581453,730,Counter-Strike: Global Offensive,79533
76561198029675856,34030,Napoleon: Total War,9112
Ahnoobs,242700,Injustice: Gods Among Us Ultimate Edition,335
76561198045635178,550,Left 4 Dead 2,11957
76561198073642113,55140,MX vs. ATV Reflex,12463
76561198042918873,730,Counter-Strike: Global Offensive,55198
MonsOlympus,207610,The Walking Dead,940
76561198095947504,730,Counter-Strike: Global Offensive,37499
76561198063986589,15620,"Warhammer® 40,000™: Dawn of War® II",458
jesus-cristo,550,Left 4 Dead 2,5019
C14M8S,550,Left 4 Dead 2,1908
YourNotMyRealDad,1250,Killing Floor,787
cazza8360,550,Left 4 Dead 2,247
TenksGo,38400,Fallout,206
76561197995418864,265550,Dead Rising 3,1314
komix15,50130,Mafia II,421
NinjaCowboy96,9070,DOOM 3: Resurrection of Evil,145
76561198066778792,214190,Minimum,2127
76561198027225504,323470,DRAGON BALL XENOVERSE,2637
Aurora99,8400,Geometry Wars: Retro Evolved,134
76561198072135272,730,Counter-Strike: Global Offensive,13025
whackojacko123,47890,The Sims(TM) 3,3076
NeverfailGaming,730,Counter-Strike: Global Offensive,78267
76561198065344627,250320,The Wolf Among Us,1062
76561198097165402,1250,Killing Floor,4506
sophiadabest,24240,PAYDAY: The Heist,194
BigLezzly,55230,Saints Row: The Third,3710
76561198061652531,222750,Wargame: AirLand Battle,2355
OneNiceURL,287390,Metro: Last Light Redux,760
76561198096143818,231430,Company of Heroes 2,3921
mathelus,240,Counter-Strike: Source,239
barcafan835,205910,Tiny and Big: Grandpa's Leftovers,107
76561198093080426,250320,The Wolf Among Us,993
supfoo3,8600,RACE 07,79
51041,730,Counter-Strike: Global Offensive,19800
kiado2,232090,Killing Floor 2,1304
76561198026614455,9420,Supreme Commander: Forged Alliance,695
kydmar,200510,XCOM: Enemy Unknown,4362
76561198034277356,224760,FEZ,515
ItsLeithal,730,Counter-Strike: Global Offensive,33443
76561198180009299,55230,Saints Row: The Third,348
FlNALIZE,10180,Call of Duty: Modern Warfare 2,100
76561198065711375,209870,Blacklight: Retribution,680
76561198062039159,8930,Sid Meier's Civilization V,11311
291129112911291129112911,21100,F.E.A.R. 3,313
FaZeWeaver,102700,A.V.A - Alliance of Valiant Arms,100
76561198094665607,1250,Killing Floor,1424
76561198060429887,8870,BioShock Infinite,8030
pumbarrento,230410,Warframe,100222
voaDs,70,Half-Life,779
lilslavyboy,730,Counter-Strike: Global Offensive,42579
BonnieMTD,332800,Five Nights at Freddy's 2,113
76561197999075044,226720,Lost Planet 3,820
76561197991723203,238260,Pinball Arcade,1408
difera,730,Counter-Strike: Global Offensive,46095
xiege3,345350,LIGHTNING RETURNS: FINAL FANTASY XIII,471
76561198087556976,202970,Call of Duty: Black Ops II,683
76561198094665607,377160,Fallout 4,3962
76561198052786944,500,Left 4 Dead,7825
epicbumface,8850,BioShock 2,588
mark3888,220,Half-Life 2,1236
noonzy,24240,PAYDAY: The Heist,6410
hotsaucdo,730,Counter-Strike: Global Offensive,24249
nabicore,12220,Grand Theft Auto: Episodes from Liberty City,1016
klxh,8850,BioShock 2,1770
76561198006153077,230410,Warframe,405
76561198080137082,207610,The Walking Dead,730
sdq101,60,Ricochet,68
76561198079517873,730,Counter-Strike: Global Offensive,244
MumboBros,34900,Bad Rats,304
danthettt,8930,Sid Meier's Civilization V,408
Themonsteringoo,1250,Killing Floor,1243
Tismatty,251870,Go! Go! Nippon! ~My First Trip to Japan~,216
Rainbow-Dashie,730,Counter-Strike: Global Offensive,21385
76561198037293725,550,Left 4 Dead 2,5826
huy115,730,Counter-Strike: Global Offensive,24528
OzL0,6060,STAR WARS™ Battlefront™ II,972
76561197964876290,13210,Unreal Tournament 3: Black Edition,5
natab,302830,BLOCKADE 3D,65
dragonlore23,220,Half-Life 2,594
nivek5,22370,Fallout 3 - Game of the Year Edition,2669
76561198045953692,261030,The Walking Dead: Season Two,1491
Aussiefella_69,730,Counter-Strike: Global Offensive,231839
gustavogamesBR,730,Counter-Strike: Global Offensive,119596
CorporalDucky,22300,Fallout 3,852
76561198222628548,370240,NBA 2K16,115
SvDKILLSWITCH,209870,Blacklight: Retribution,2955
Mexican-Putin,730,Counter-Strike: Global Offensive,22156
76561198041845214,7520,Two Worlds II,1561
76561198077528839,34900,Bad Rats,23
cazza8360,730,Counter-Strike: Global Offensive,39908
alekseif,220,Half-Life 2,1289
76561198089545153,730,Counter-Strike: Global Offensive,22723
imacatseeulr,232090,Killing Floor 2,565
WasSphinx,230410,Warframe,109
Shredderman962,267610,Woodcutter Simulator 2013,34
TheAussieMozzie,22370,Fallout 3 - Game of the Year Edition,176
76561198136186637,1250,Killing Floor,2558
76561198065661382,203140,Hitman: Absolution,691
76561198077113035,209650,Call of Duty: Advanced Warfare,860
76561198051977640,24240,PAYDAY: The Heist,61
Jak_L,40800,Super Meat Boy,189
76561198036124769,220,Half-Life 2,73
76561198077735144,230410,Warframe,65238
SnuffyKiins,34900,Bad Rats,117
flippy12343,550,Left 4 Dead 2,16716
fuckingdinasaww,240,Counter-Strike: Source,17543
76561197994640892,212410,Inversion™,471
76561198050158753,420,Half-Life 2: Episode Two,10
stuman85,6910,Deus Ex: Game of the Year Edition,7320
subtember11,55230,Saints Row: The Third,363
rexmatical,323470,DRAGON BALL XENOVERSE,2249
markereiei,730,Counter-Strike: Global Offensive,32106
76561198026299985,39150,FINAL FANTASY VIII,3082
NojLlewxaM,250900,The Binding of Isaac: Rebirth,13788
raelwhiteout,730,Counter-Strike: Global Offensive,87477
feifei30922,550,Left 4 Dead 2,2271
Roronage,332800,Five Nights at Freddy's 2,54
76561198034888931,8850,BioShock 2,1130
76561197974875094,230050,DLC Quest,497
76561198064718777,273350,Evolve Stage 2,2106
76561198057276303,730,Counter-Strike: Global Offensive,39664
chokadokada,730,Counter-Strike: Global Offensive,40834
76561198062092084,209870,Blacklight: Retribution,19950
76561198071379867,730,Counter-Strike: Global Offensive,44093
76561198058412282,242700,Injustice: Gods Among Us Ultimate Edition,154
76561198053509764,730,Counter-Strike: Global Offensive,9167
DuckM80,730,Counter-Strike: Global Offensive,26909
LegionofTalon,8870,BioShock Infinite,632
76561198043319694,550,Left 4 Dead 2,243
relesprit,8930,Sid Meier's Civilization V,7250
76561198091034264,332800,Five Nights at Freddy's 2,48
76561198040596416,1250,Killing Floor,5648
vivatheplayer,55230,Saints Row: The Third,7233
stirlingsilverfilms,252530,OMSI 2,367
Breakercsyoyo,730,Counter-Strike: Global Offensive,88850
DjinnieContact,221380,Age of Empires II: HD Edition,4176
Kartoffel_,730,Counter-Strike: Global Offensive,45948
Celerius,6060,STAR WARS™ Battlefront™ II,330
Flappyflap,25890,Hearts of Iron III,1113
Shemhamphorasch,10130,TimeShift,1733
caffinatedshit,55230,Saints Row: The Third,4817
SlapstickGhost,300,Day of Defeat: Source,22959
76561198078411167,346120,Boring Man - Online Tactical Stickman Combat,191
76561198059749148,221380,Age of Empires II: HD Edition,2422
76561198074170361,1250,Killing Floor,1293
lp_ricco,1250,Killing Floor,631
commandochou,214490,Alien: Isolation,2272
76561198049088443,730,Counter-Strike: Global Offensive,34141
hudhu-azngod,263300,BlazBlue: Calamity Trigger,288
middablue,730,Counter-Strike: Global Offensive,38162
76561198079275068,550,Left 4 Dead 2,23443
76561197999483873,9730,Tycoon City: New York,36
gearskutlu,8870,BioShock Infinite,2382
76561198047593692,730,Counter-Strike: Global Offensive,35486
frannleman,6000,STAR WARS™ Republic Commando,628
