release_date,recommend,sentimiento,año_posted
2009,1,2,2014
2009,1,2,2014
2009,1,2,2015
2009,1,2,2011
2009,1,2,2011
2009,0,0,2014
2009,1,2,2014
2009,1,2,2014
2009,1,2,2013
2009,1,2,2014
2009,1,2,2014
2009,1,0,2015
2009,1,2,2013
2008,1,2,2015
2008,1,2,2014
2008,1,0,2014
2008,1,0,2011
2008,1,1,2014
2008,1,2,2013
2008,1,2,2014
2008,1,2,2014
2008,1,1,2013
2008,1,2,2013
2008,1,2,2015
2008,1,2,2013
2008,1,2,2013
2009,1,0,2012
2005,1,0,2014
2005,1,2,2015
2007,1,2,2012
2007,1,2,2013
2007,1,2,2014
2009,1,2,2013
2009,1,2,2014
2009,1,0,2015
2009,1,2,2012
2009,1,2,2013
2009,1,2,2014
2009,1,2,2015
2009,1,2,2014
2009,1,2,2014
2009,1,2,2014
2009,1,2,2014
2009,1,2,2014
2009,1,2,2014
2009,1,2,2014
2009,1,2,2014
2009,1,2,2014
2009,1,2,2014
2009,1,2,2014
2009,1,2,2013
2009,1,2,2014
2009,1,2,2013
2009,0,2,2015
2009,1,2,2013
2009,1,2,2014
2009,1,2,2015
2009,0,2,2014
2009,1,2,2014
2009,1,2,2014
2009,1,2,2014
2009,1,2,2013
2009,1,2,2011
2009,1,0,2014
2009,1,2,2014
2009,1,1,2014
2009,1,2,2015
2009,1,1,2014
2009,1,2,2014
2009,1,2,2013
2009,1,0,2015
2009,1,1,2013
2007,1,2,2014
2007,1,2,2011
2007,1,2,2014
2007,1,2,2015
2007,1,2,2014
2007,1,0,2013
2007,1,2,2014
2007,1,2,2015
2007,1,2,2015
2007,0,0,2013
2007,1,2,2011
2007,1,2,2014
2007,1,2,2014
2007,1,0,2015
2007,1,1,2015
2007,1,0,2014
2007,1,2,2014
2007,1,0,2013
2002,1,2,2015
2002,1,2,2015
2002,1,2,2015
2002,1,2,2015
2002,1,2,2014
2002,1,2,2014
2002,1,2,2014
2002,1,0,2015
2002,1,0,2015
2002,1,2,2015
2002,1,2,2013
2002,1,2,2015
2002,1,2,2014
2007,1,1,2014
2007,1,2,2014
2009,1,2,2011
2009,0,2,2014
2009,1,2,2014
2005,1,2,2014
2005,1,0,2014
2005,1,2,2015
2005,1,2,2013
2005,1,2,2014
2005,1,2,2015
2005,1,2,2014
2005,1,2,2015
2005,1,2,2014
2005,1,2,2014
2005,1,2,2014
2005,1,2,2014
2005,1,2,2013
2005,1,2,2014
2005,1,2,2015
2005,1,2,2015
2005,0,1,2014
2005,1,2,2014
2005,1,2,2014
2005,1,2,2014
2005,1,1,2014
2005,1,0,2015
2005,1,2,2014
2005,1,2,2014
2005,1,1,2014
2005,1,2,2014
2005,1,0,2014
2005,1,1,2014
2005,1,2,2014
2005,1,2,2011
2005,1,2,2013
2005,1,2,2014
2005,1,0,2014
2005,0,0,2015
2005,1,1,2014
2005,1,2,2014
2005,1,2,2014
2005,1,2,2014
2005,1,2,2014
2005,1,2,2015
2005,1,2,2014
2005,1,2,2014
2005,1,2,2015
2005,1,1,2015
2005,1,2,2013
2005,1,2,2015
2005,1,0,2015
2005,1,2,2015
2005,1,2,2015
2005,1,2,2012
2005,1,2,2012
2005,1,2,2015
2005,1,0,2015
2005,0,0,2014
2005,1,0,2015
2005,1,2,2015
2005,1,2,2015
2005,1,1,2014
2005,1,2,2014
2005,1,1,2014
2005,1,2,2013
2005,1,2,2014
2005,1,1,2013
2005,1,0,2015
2005,1,1,2013
2005,1,2,2013
2005,1,2,2015
2005,1,2,2014
2005,1,1,2014
2005,0,2,2014
2005,1,1,2014
2005,1,2,2014
2005,1,0,2015
2005,1,2,2014
2005,1,2,2014
2005,1,2,2014
2005,1,1,2014
2005,1,2,2014
2005,1,1,2014
2005,1,2,2014
2005,1,2,2014
2006,1,0,2011
2007,1,2,2014
2007,1,2,2015
1998,1,1,2014
1998,0,1,2013
1998,1,1,2015
1998,1,2,2014
1998,1,0,2014
1998,1,0,2015
1998,1,2,2015
1998,1,2,2015
2001,1,2,2015
2005,1,1,2014
2005,1,2,2015
2005,1,2,2014
2009,1,2,2015
2007,1,2,2014
2007,1,2,2014
2007,1,2,2015
2007,1,2,2014
2007,1,2,2014
2009,1,2,2015
2009,1,1,2013
2009,1,0,2011
2009,1,2,2012
2009,1,2,2013
2009,1,2,2012
2009,1,1,2014
2009,1,1,2015
2009,1,2,2013
2009,1,1,2015
2009,1,2,2010
2009,1,2,2014
2009,1,2,2014
2009,1,2,2013
2009,1,2,2013
2009,1,2,2013
2009,1,2,2014
2009,1,2,2012
2009,1,1,2014
2009,1,2,2015
2009,1,1,2011
2009,0,0,2014
2009,1,1,2015
2009,1,2,2012
2009,1,0,2014
2009,1,2,2014
2009,1,0,2013
2009,1,1,2014
2009,1,2,2013
2009,1,2,2013
2009,1,2,2013
2009,1,2,2013
2009,1,2,2015
2009,1,2,2014
2009,0,0,2013
2009,1,1,2014
2009,1,2,2013
2009,1,1,2014
2009,1,1,2015
2009,0,0,2015
2009,0,2,2014
2009,1,2,2015
2009,1,2,2014
2009,1,1,2012
2009,1,2,2014
2009,1,2,2014
2009,1,2,2013
2009,1,2,2015
2009,1,2,2014
2009,1,2,2013
2009,1,2,2012
2009,1,2,2014
2009,1,0,2015
2009,1,2,2014
2009,1,2,2015
2009,1,1,2013
2009,1,0,2012
2009,1,1,2014
2009,1,1,2015
2009,1,2,2015
2009,1,0,2012
2009,1,2,2015
2009,1,2,2014
2009,1,1,2015
2009,1,0,2014
2009,1,0,2014
2009,1,2,2014
2009,1,2,2014
2009,1,2,2014
2009,1,2,2014
2009,1,1,2014
2009,1,1,2015
2009,1,2,2013
2009,1,1,2014
2009,1,1,2015
2009,1,1,2015
2009,1,2,2014
2009,1,0,2014
2009,1,2,2014
2009,1,1,2015
2009,1,2,2014
2009,1,0,2014
2009,1,2,2015
2009,1,2,2014
2009,1,2,2015
2009,1,0,2014
2009,0,2,2014
2009,1,2,2015
2009,1,2,2011
2009,1,2,2014
2007,1,1,2015
2007,1,0,2013
2007,1,2,2011
2007,1,2,2014
2007,1,1,2015
2007,1,2,2014
2007,1,1,2014
2007,1,2,2012
2007,1,2,2015
2009,1,0,2012
2009,1,2,2014
2009,1,2,2014
2009,1,2,2011
2009,1,2,2013
2009,1,2,2015
2009,0,1,2014
2009,1,2,2014
2009,1,0,2014
2009,0,0,2015
2009,1,1,2015
2009,0,1,2015
2009,1,0,2014
2009,0,0,2015
2009,1,2,2015
2009,1,2,2015
2009,1,2,2014
2009,1,0,2015
2009,1,2,2015
2009,1,2,2015
2009,1,2,2014
2009,1,2,2015
2009,1,2,2013
2009,1,2,2013
2009,1,2,2015
2009,1,2,2015
2009,1,2,2014
2009,1,2,2015
2009,1,2,2013
2009,1,1,2014
2009,1,2,2015
2009,1,2,2014
2009,1,2,2013
2009,1,2,2011
2009,1,2,2015
2009,1,2,2015
2009,1,2,2015
2009,1,2,2014
2009,1,2,2015
2009,1,0,2015
2009,1,2,2015
2009,1,1,2014
2009,1,2,2015
2009,1,2,2014
2009,1,2,2012
2009,1,2,2012
2009,1,2,2014
2009,0,0,2014
2009,1,1,2014
2009,1,2,2015
2009,1,2,2015
2009,1,1,2012
2009,1,0,2014
2009,1,2,2011
2009,1,0,2013
2009,1,1,2015
2009,1,2,2013
2009,1,2,2015
2009,1,0,2014
2009,1,0,2013
2009,1,1,2015
2009,1,2,2013
2009,0,2,2014
2009,1,2,2015
2009,1,2,2014
2009,1,0,2015
2009,1,1,2015
2009,1,2,2014
2009,1,0,2015
2009,1,2,2015
2009,1,1,2014
2009,1,0,2015
2009,1,0,2015
2009,1,2,2014
2010,0,0,2015
2010,1,2,2014
2010,1,2,2011
2010,1,0,2014
2010,1,2,2014
2010,1,2,2014
2010,1,2,2013
2010,1,2,2015
2010,0,2,2013
2010,1,2,2013
2010,0,0,2015
2010,0,1,2015
2010,1,0,2014
2010,1,2,2015
2011,1,2,2015
2011,1,2,2014
2011,1,0,2013
2011,1,1,2014
2011,1,2,2014
2011,1,1,2013
2011,1,2,2013
2011,1,2,2011
2011,1,2,2014
2011,1,2,2015
2011,1,1,2014
2011,1,2,2013
2011,1,1,2014
2011,1,2,2013
2011,1,2,2014
2011,1,2,2014
2011,1,1,2014
2011,1,2,2015
2011,1,1,2015
2011,1,0,2015
2011,1,1,2015
2011,1,0,2014
2011,1,2,2013
2011,1,2,2015
2011,1,2,2014
2011,1,1,2013
2011,1,2,2014
2011,1,1,2011
2011,0,0,2014
2011,1,2,2013
2011,1,2,2012
2011,1,2,2015
2011,1,1,2014
2011,1,1,2015
2010,1,2,2011
2010,1,2,2015
2010,0,0,2015
2010,1,1,2014
2010,1,1,2015
2010,1,2,2014
2010,1,1,2015
2010,1,2,2012
2010,1,1,2010
2010,1,2,2014
2010,1,0,2011
2010,1,0,2015
2010,1,2,2013
2010,1,2,2010
2010,1,0,2015
2010,1,1,2015
2010,1,2,2014
2010,1,0,2014
2010,1,1,2015
2010,1,2,2014
2010,0,1,2015
2002,1,2,2013
2010,1,2,2014
2010,1,2,2010
2010,1,1,2014
2010,1,2,2015
2010,1,2,2014
2010,1,2,2013
2010,1,2,2013
2010,1,2,2013
2010,1,2,2013
2010,1,2,2014
2010,1,2,2015
2010,1,0,2015
2010,1,2,2014
2010,1,2,2014
2010,1,2,2014
2010,1,2,2014
2010,1,2,2014
2010,1,2,2015
2010,1,2,2014
2010,1,2,2015
2010,1,2,2014
2010,1,2,2012
2010,1,2,2013
2010,1,2,2014
2010,1,2,2014
2010,1,2,2014
2010,1,2,2014
2010,1,2,2014
2010,1,2,2013
2010,1,2,2014
2010,1,1,2015
2010,1,2,2013
2010,1,2,2014
2010,1,1,2013
2010,1,2,2015
2010,1,2,2014
2010,1,0,2013
2010,1,1,2014
2010,1,2,2015
2010,1,2,2014
2010,1,2,2015
2010,1,0,2014
2010,1,2,2014
2010,1,1,2014
2010,1,2,2014
2010,1,1,2014
2010,1,1,2015
2010,1,2,2015
2010,1,1,2014
2010,1,2,2013
2010,1,2,2013
2010,1,2,2013
2010,1,1,2014
2010,1,2,2015
2010,1,2,2014
2010,1,1,2012
2010,1,2,2014
2010,1,2,2014
2010,1,0,2015
2010,1,2,2014
2010,1,2,2015
2010,1,2,2014
2010,1,2,2014
2010,1,0,2014
2010,1,2,2013
2010,0,0,2014
2010,1,1,2014
2010,1,2,2014
2010,1,2,2013
2010,1,2,2013
2010,1,2,2014
2010,0,0,2015
2010,0,0,2015
2010,0,0,2015
2010,0,0,2015
2010,1,2,2014
2010,1,2,2014
2010,1,2,2014
2010,1,2,2014
2010,1,2,2013
2010,1,0,2015
2010,1,1,2013
2010,1,2,2014
2010,1,2,2015
2010,1,2,2013
2010,1,2,2015
2010,1,2,2014
2010,1,2,2011
2010,1,2,2014
2010,1,2,2014
2010,1,1,2013
2010,1,2,2013
2010,1,2,2013
2010,1,0,2015
2010,1,2,2014
2010,1,1,2015
2010,1,0,2015
2010,1,2,2014
2010,1,2,2014
2010,1,2,2013
2010,1,2,2014
2010,1,2,2013
2010,1,2,2015
2010,1,2,2015
2010,1,2,2015
2010,1,2,2015
2010,1,2,2015
2010,1,1,2013
2010,1,2,2014
2010,1,2,2014
2010,1,2,2014
2010,1,2,2013
2010,1,2,2014
2010,1,2,2013
2010,1,0,2014
2010,1,2,2014
2010,1,2,2013
2010,1,2,2015
2010,1,1,2013
2010,1,2,2014
2010,1,2,2015
2010,1,2,2015
2010,1,2,2014
2010,0,2,2015
2010,1,2,2014
2010,1,2,2015
2010,1,2,2015
2010,1,2,2015
2010,1,2,2015
2010,1,2,2014
2010,1,2,2014
2010,1,2,2014
2010,1,1,2014
2010,1,2,2013
2010,1,1,2014
2010,1,1,2014
2010,1,2,2014
2010,1,0,2014
2010,1,1,2013
2010,1,2,2015
2010,1,1,2014
2010,1,2,2014
2010,1,2,2014
2010,1,2,2014
2010,1,2,2013
2010,1,2,2014
2010,1,2,2014
2010,1,2,2013
2010,1,1,2014
2010,1,2,2014
2010,1,2,2015
2010,1,2,2014
2010,1,2,2014
2010,1,0,2014
2010,1,1,2014
2010,1,2,2014
2010,1,0,2015
2010,1,2,2014
2010,1,2,2015
2010,1,1,2014
2010,1,0,2014
2010,1,2,2013
2010,1,2,2011
2010,1,2,2015
2010,1,2,2014
2010,1,1,2014
2010,1,2,2014
2010,1,2,2015
2010,1,0,2015
2010,1,2,2015
2010,0,0,2015
2010,1,0,2014
2010,1,0,2015
2010,1,2,2014
2010,1,1,2015
2010,1,2,2014
2010,1,2,2014
2010,1,2,2015
2010,1,1,2015
2010,1,1,2014
2010,1,2,2015
2010,1,1,2012
2010,1,2,2014
2010,1,2,2015
2010,1,0,2014
2010,1,2,2010
2010,1,2,2015
2010,0,2,2014
2010,1,2,2013
2010,0,0,2015
2010,1,2,2015
2010,1,1,2015
2010,1,2,2014
2010,1,2,2014
2010,1,2,2013
2010,1,2,2014
2010,1,2,2015
2010,1,2,2014
2010,1,2,2015
2010,1,2,2015
2010,1,1,2014
2010,1,0,2015
2010,1,2,2014
2010,1,0,2015
2010,1,2,2014
2010,1,2,2013
2010,1,2,2014
2010,1,0,2014
2010,1,2,2014
2010,1,2,2014
2010,1,0,2014
2010,1,0,2015
2010,1,2,2013
2010,1,2,2013
2010,1,0,2015
2010,1,2,2015
2010,1,2,2013
2010,1,2,2015
2010,1,2,2014
2010,1,2,2014
2010,1,2,2013
2010,1,2,2015
2010,1,2,2014
2010,1,2,2014
2010,1,0,2014
2010,1,2,2014
2010,1,2,2015
2010,1,2,2014
2010,1,2,2015
2010,1,2,2013
2010,1,2,2013
2010,1,2,2014
2010,1,2,2015
2010,1,2,2014
2010,1,0,2014
2010,1,2,2014
2010,1,2,2014
2010,1,2,2014
2010,1,2,2012
2010,1,2,2014
2010,1,2,2014
2010,1,2,2014
2010,1,2,2013
2010,1,0,2014
2010,1,1,2014
2010,1,0,2015
2010,1,1,2015
2010,1,2,2013
2010,1,2,2014
2010,1,2,2014
2010,1,2,2013
2010,1,2,2014
2010,1,2,2013
2010,1,2,2014
2010,1,2,2014
2010,1,1,2015
2010,1,1,2014
2010,1,0,2014
2010,1,1,2014
2010,1,0,2013
2010,1,2,2014
2010,1,2,2014
2010,1,2,2013
2010,1,2,2014
2010,1,2,2015
2010,1,2,2014
2010,1,2,2014
2010,1,2,2014
2010,1,2,2014
2010,1,2,2013
2010,1,2,2014
2010,1,2,2014
2010,1,2,2014
2010,1,1,2014
2010,1,2,2014
2010,1,1,2014
2010,1,2,2014
2010,1,2,2013
2010,1,2,2014
2010,1,2,2014
2010,1,2,2013
2010,1,2,2015
2010,1,0,2014
2010,0,0,2012
2010,1,2,2014
2010,0,2,2015
2010,0,0,2014
2010,1,2,2013
2010,0,0,2013
2010,1,2,2013
2010,1,1,2013
2010,1,2,2015
2010,1,2,2014
2010,1,1,2014
2010,0,0,2015
2010,1,2,2011
2010,0,0,2015
2010,0,2,2015
2010,1,2,2013
2010,1,2,2014
2010,0,1,2013
2010,1,2,2014
2010,1,2,2014
2010,1,1,2014
2010,1,2,2015
2010,1,0,2012
2010,1,2,2011
2010,1,2,2014
2010,1,2,2014
2010,1,2,2014
2010,1,2,2015
2010,1,2,2012
2010,1,2,2013
2010,1,2,2015
2010,1,1,2014
2010,1,2,2015
2010,1,2,2011
2010,1,2,2014
2010,0,0,2014
2010,1,0,2011
2010,1,2,2015
2010,1,2,2014
2010,1,1,2012
2010,1,2,2014
2010,1,2,2014
2010,1,2,2014
2010,1,1,2015
2010,1,2,2015
2010,1,1,2014
2010,1,2,2015
2010,1,2,2012
2010,1,2,2014
2010,1,2,2013
2010,1,0,2015
2002,1,1,2015
2002,1,2,2015
2002,1,2,2013
2002,1,2,2014
2005,1,1,2015
2005,1,2,2014
2005,1,1,2014
2005,0,1,2015
2005,0,2,2014
2005,1,2,2014
2005,1,2,2015
2005,1,2,2014
2005,1,2,2015
2005,1,2,2012
2005,1,2,2015
2005,1,2,2014
2005,1,2,2014
2005,1,2,2014
2005,1,2,2013
2005,1,2,2013
2005,0,1,2014
2005,1,2,2013
2005,1,1,2014
2005,1,2,2013
2005,1,2,2014
2005,1,1,2014
2005,1,2,2013
2005,1,1,2015
2005,1,1,2014
2005,1,0,2015
2005,1,1,2015
2005,1,2,2015
2003,1,0,2014
2003,1,2,2015
2003,1,2,2015
2003,1,2,2014
2003,1,2,2014
2003,1,2,2014
2003,1,2,2014
2003,1,1,2014
2003,1,2,2015
2003,1,1,2015
2003,1,1,2014
2003,1,1,2013
2003,1,2,2015
2003,1,1,2015
2011,1,0,2015
2011,1,0,2014
2011,1,2,2013
2009,1,2,2013
2009,1,2,2014
2009,0,0,2014
2009,1,0,2014
2009,1,0,2015
2009,1,1,2014
2009,1,2,2014
2009,1,2,2014
2009,1,0,2014
2009,1,1,2014
2009,1,1,2014
2009,0,2,2014
2009,1,0,2014
2009,1,0,2014
2009,1,2,2013
2009,1,2,2014
2009,1,0,2014
2011,0,0,2014
2011,1,2,2014
2011,1,2,2012
2011,1,2,2013
0,1,2,2014
0,1,2,2015
0,1,0,2014
0,1,2,2015
0,0,1,2015
0,1,2,2014
0,1,2,2015
2011,1,2,2015
2011,1,0,2013
2011,1,2,2014
2011,0,0,2014
2011,1,2,2013
2011,1,0,2014
2011,1,2,2013
2011,1,2,2013
2011,1,2,2014
2011,1,2,2011
2011,1,2,2014
2011,0,2,2014
2011,1,2,2011
2011,1,2,2014
2011,1,2,2014
2011,1,0,2011
2011,1,2,2014
2011,0,0,2015
2011,0,1,2015
2011,0,1,2014
2011,0,0,2014
2011,1,2,2015
2011,1,2,2014
2011,0,0,2013
2011,0,2,2015
2011,1,0,2012
2011,1,2,2015
2011,1,2,2013
2011,1,0,2015
2011,1,2,2014
2011,1,2,2014
2011,1,2,2014
2011,0,0,2014
2011,1,2,2012
2011,1,1,2014
2011,1,0,2013
2011,0,2,2014
2011,1,2,2011
2011,1,2,2011
2011,0,0,2011
2011,1,2,2015
2011,1,2,2012
2011,1,2,2013
2011,1,2,2014
2011,1,2,2014
2011,1,2,2014
2011,1,2,2014
2011,1,2,2014
2011,1,2,2015
2007,1,2,2014
2007,1,2,2014
2007,1,0,2015
2007,1,2,2013
2011,1,2,2014
2011,1,2,2015
2011,1,1,2015
2011,1,2,2012
2011,1,0,2011
2011,1,0,2015
2011,1,2,2015
2011,1,2,2014
2010,0,2,2015
2011,1,2,2014
2011,1,2,2013
2011,1,2,2012
2011,0,0,2014
2011,1,0,2014
2011,0,0,2015
2011,1,0,2014
2011,1,2,2014
2011,0,2,2015
2011,0,2,2014
2012,1,2,2015
2012,1,2,2014
2012,1,2,2013
2012,1,2,2012
2012,1,2,2014
2012,0,0,2015
2012,1,2,2014
2012,1,2,2013
2012,1,2,2014
2012,0,0,2014
2012,1,2,2014
2012,1,2,2014
2012,1,2,2015
2012,1,0,2012
2012,1,2,2013
2012,0,0,2012
2012,0,0,2015
2012,0,0,2015
2012,0,0,2015
2012,0,0,2015
2012,1,2,2014
2012,1,2,2012
2012,1,2,2015
2012,0,1,2015
2012,1,1,2014
2012,1,2,2012
2012,1,2,2014
2012,1,0,2015
2012,1,2,2014
2012,1,2,2014
2012,1,1,2014
2012,1,2,2014
2012,1,2,2013
2012,1,1,2014
2012,1,2,2014
2012,1,2,2013
2012,1,2,2012
2012,1,2,2012
2012,1,2,2014
2012,1,2,2015
2012,1,2,2013
2012,1,1,2015
2012,1,2,2014
2012,1,1,2014
2012,1,1,2014
2012,1,1,2013
2012,1,2,2014
2012,1,2,2014
2012,1,2,2014
2012,1,0,2014
2012,1,2,2014
2012,1,2,2013
2012,0,1,2014
2012,1,2,2013
2012,1,1,2014
2012,1,1,2015
2012,1,2,2013
2012,1,2,2014
2012,1,2,2014
2012,1,2,2012
2012,1,1,2015
2012,1,1,2015
2012,1,2,2013
2012,1,2,2015
2012,1,1,2013
2012,0,0,2015
2012,0,0,2015
2012,0,0,2015
2012,0,0,2015
2012,1,2,2013
2012,1,1,2013
2012,1,2,2014
2012,1,1,2014
2012,1,2,2014
2012,1,2,2014
2012,1,2,2013
2012,1,1,2013
2012,1,0,2013
2012,1,2,2012
2012,1,2,2015
2012,0,2,2014
2012,1,1,2013
2012,1,0,2014
2012,1,2,2015
2012,1,2,2015
2012,1,1,2013
2012,1,1,2013
2012,1,0,2015
2012,1,2,2014
2012,1,2,2012
2012,1,2,2012
2012,1,2,2014
2012,1,2,2013
2012,1,0,2014
2012,1,2,2012
2012,1,2,2012
2012,1,2,2015
2012,1,2,2014
2012,1,2,2014
2012,1,1,2013
2012,1,2,2015
2012,1,0,2012
2012,1,2,2014
2012,1,2,2014
2012,1,2,2013
2012,1,2,2013
2012,1,2,2014
2012,1,2,2015
2012,1,2,2015
2012,1,0,2015
2012,1,1,2014
2012,1,2,2015
2012,1,2,2014
2012,1,2,2015
2012,1,2,2015
2012,1,2,2015
2012,1,2,2015
2012,1,2,2015
2012,1,2,2015
2012,1,0,2015
2012,1,2,2015
2012,1,2,2015
2012,1,2,2015
2012,1,2,2014
2012,1,0,2014
2012,1,2,2015
2012,1,2,2014
2012,1,2,2015
2012,1,2,2014
2012,1,2,2014
2012,1,0,2015
2012,1,1,2015
2012,1,2,2015
2012,1,1,2015
2012,1,0,2014
2012,1,1,2014
2012,1,1,2014
2012,1,2,2013
2012,1,0,2015
2012,1,2,2014
2012,1,2,2014
2012,1,2,2014
2012,1,2,2014
2012,1,1,2015
2012,0,0,2015
2012,1,1,2015
2012,1,2,2014
2012,1,2,2015
2012,1,2,2014
2012,1,2,2013
2012,1,2,2014
2012,1,2,2015
2012,1,2,2015
2012,1,2,2015
2012,1,2,2015
2012,1,2,2015
2012,1,2,2014
2012,1,2,2014
2012,1,2,2014
2012,1,2,2014
2012,1,2,2015
2012,1,2,2014
2012,1,0,2014
2012,1,1,2015
2012,1,2,2014
2012,0,2,2015
2012,1,0,2015
2012,1,1,2014
2012,1,0,2015
2012,1,0,2015
2012,1,0,2015
2012,1,0,2015
2012,1,0,2015
2012,1,0,2015
2012,1,0,2015
2012,1,0,2015
2012,1,0,2015
2012,1,2,2014
2012,1,2,2014
2012,1,2,2015
2012,1,0,2014
2012,1,2,2014
2012,1,0,2014
2012,1,0,2013
2012,1,1,2015
2012,1,2,2014
2012,1,2,2014
2012,1,1,2015
2012,1,2,2015
2012,1,1,2015
2012,1,2,2015
2012,1,2,2014
2012,1,0,2014
2012,0,0,2015
2012,1,2,2015
2012,1,2,2014
2012,1,2,2014
2012,1,0,2015
2012,1,2,2014
2012,1,2,2015
2012,1,2,2015
2012,1,2,2015
2012,1,2,2015
2012,1,0,2015
2012,1,2,2013
2012,1,2,2015
2012,1,2,2015
2012,1,2,2013
2012,1,2,2014
2012,1,2,2015
2012,1,1,2014
2012,1,2,2014
2012,1,1,2015
2012,1,2,2015
2012,1,2,2015
2012,1,2,2013
2012,1,2,2015
2012,0,0,2015
2012,1,2,2015
2012,1,2,2014
2012,0,0,2015
2012,1,1,2015
2012,1,0,2015
2012,1,2,2015
2012,1,2,2015
2012,1,2,2015
