release_date,generos,playtime_forever
2007,RPG,296
2007,RPG,4478
2007,RPG,5324
2007,RPG,3246
2007,RPG,2176
2007,RPG,649
2007,RPG,256
2007,RPG,1836
2007,RPG,6984
2007,RPG,2647
2007,RPG,6006
2007,RPG,2887
2007,RPG,3863
2002,RPG,838
2002,RPG,838
2002,RPG,838
2002,RPG,838
2002,RPG,3515
2002,RPG,1193
2002,RPG,790
2002,RPG,5106
2002,RPG,18
2002,RPG,1560
2002,RPG,2373
2002,RPG,14525
2002,RPG,6620
2007,Adventure,25
2007,Adventure,457
2009,Action,3623
2009,Action,419
2009,Action,954
2005,Action,3192
2005,Action,419
2005,Action,1106
2005,Action,28
2005,Action,5646
2005,Action,1206
2005,Action,604
2005,Action,2075
2005,Action,9605
2005,Action,9605
2005,Action,9605
2005,Action,9605
2005,Action,3939
2005,Action,1604
2005,Action,780
2005,Action,249
2005,Action,22
2005,Action,969
2005,Action,9238
2005,Action,230
2005,Action,682
2005,Action,1359
2005,Action,1909
2005,Action,784
2005,Action,137
2005,Action,330
2005,Action,698
2005,Action,1523
2005,Action,6357
2005,Action,979
2005,Action,121
2005,Action,3083
2005,Action,2153
2005,Action,12
2005,Action,5746
2005,Action,3320
2005,Action,3320
2005,Action,3320
2005,Action,3320
2005,Action,470
2005,Action,375
2005,Action,600
2005,Action,296
2005,Action,2763
2005,Action,2961
2005,Action,2272
2005,Action,1817
2005,Action,159
2005,Action,3939
2005,Action,2615
2005,Action,1613
2005,Action,4947
2005,Action,984
2005,Action,241
2005,Action,6930
2005,Action,2280
2005,Action,6097
2005,Action,972
2005,Action,1476
2005,Action,1392
2005,Action,7426
2005,Action,600
2005,Action,1394
2005,Action,1209
2005,Action,3146
2005,Action,1109
2005,Action,654
2005,Action,789
2005,Action,1159
2005,Action,23
2005,Action,725
2005,Action,68
2005,Action,1384
2005,Action,3465
2005,Action,1618
2005,Action,215
2005,Action,2807
2005,Action,457
2005,Action,731
2005,Action,289
2005,Action,94
2006,Sports,1003
2007,Action,1733
2007,Action,844
1998,RPG,2426
1998,RPG,41
1998,RPG,352
1998,RPG,1750
1998,RPG,48
1998,RPG,5275
1998,RPG,554
1998,RPG,2798
2001,Strategy,4617
2005,Action,1138
2005,Action,2240
2005,Action,527
2009,Action,1004
2007,Action,3434
2007,Action,109
2007,Action,459
2007,Action,170
2007,Action,540
2009,Racing,1589
2009,RPG,196
2009,RPG,11112
2009,RPG,733
2009,RPG,88
2009,RPG,282
2009,RPG,478
2009,Strategy,1126
2009,Strategy,1566
2009,Adventure,603
2009,RPG,4003
2009,RPG,2535
2009,RPG,5179
2009,RPG,1588
2009,Action,905
2009,Action,10169
2009,Action,91
2009,Action,1840
2009,Action,367
2009,Action,723
2009,Action,718
2009,Action,1354
2009,Action,557
2009,Action,8911
2009,Action,19205
2009,Action,498
2009,Action,1050
2009,Action,1315
2009,Action,308
2009,Action,308
2009,Action,308
2009,Action,308
2009,Action,554
2009,Action,247
2009,Action,3282
2009,Action,1569
2009,Action,2664
2009,Action,430
2009,Action,222
2009,Action,100
2009,Action,126
2009,Action,4733
2009,Action,184
2009,Action,2118
2009,Action,1994
2009,Action,6825
2009,Action,32
2009,Action,525
2009,Action,1292
2009,Action,1052
2009,Action,1078
2009,Action,836
2009,Action,824
2009,Action,644
2009,Action,966
2009,Action,566
2009,Action,9
2009,Action,364
2009,Action,1629
2009,Action,705
2009,Action,1311
2009,Action,1376
2009,Action,2075
2009,Action,3976
2009,Action,2318
2009,Action,20
2009,Action,300
2009,Action,2461
2009,Action,36
2009,Action,16
2009,Action,655
2009,Action,501
2009,Action,5062
2009,Action,544
2009,Action,339
2009,Action,744
2009,Action,426
2009,Action,216
2009,Action,297
2009,Action,717
2009,Action,505
2009,Action,1546
2009,Action,530
2009,Action,240
2009,Action,136
2009,Action,655
2009,Action,2321
2009,Action,86
2009,Adventure,1484
2009,Adventure,708
2007,RPG,902
2007,RPG,852
2007,RPG,1390
2007,RPG,4055
2007,RPG,165
2007,RPG,1160
2007,Strategy,1178
2007,Strategy,773
2007,Strategy,38
2009,Strategy,282
2009,Strategy,2713
2009,Simulation,713
2009,Simulation,1955
2009,Action,558
2009,Action,133
2009,Action,12
2009,Action,2748
2009,Action,696
2009,Action,764
2009,Action,448
2009,Action,481
2009,Action,1267
2009,Action,8
2009,Action,702
2009,RPG,281
2009,RPG,239
2009,RPG,1271
2009,RPG,44
2009,RPG,176
2009,RPG,1731
2009,RPG,948
2009,RPG,2111
2009,RPG,5618
2009,RPG,264
2009,RPG,396
2009,RPG,3217
2009,RPG,27
2009,RPG,4286
2009,RPG,563
2009,RPG,2688
2009,RPG,4049
2009,RPG,2937
2009,RPG,3671
2009,RPG,17720
2009,RPG,6397
2009,RPG,3945
2009,RPG,12
2009,RPG,3708
2009,RPG,3521
2009,RPG,679
2009,RPG,1179
2009,RPG,6584
2009,RPG,3550
2009,RPG,4778
2009,RPG,10371
2009,RPG,83
2009,RPG,353
2009,RPG,269
2009,RPG,2669
2009,RPG,1527
2009,RPG,2419
2009,RPG,3347
2009,RPG,2274
2009,RPG,360
2009,RPG,1765
2009,RPG,2084
2009,RPG,237
2009,RPG,2010
2009,RPG,92
2009,RPG,5632
2009,RPG,1067
2009,RPG,20
2009,RPG,487
2009,RPG,1497
2009,RPG,34
2009,RPG,214
2009,RPG,1419
2009,RPG,530
2009,RPG,839
2009,RPG,388
2009,Casual,5
2009,Casual,17
2009,Casual,15
2010,Action,37
2010,Action,1584
2010,Action,3337
2010,Action,1204
2010,Action,1016
2010,Action,1598
2010,Action,12921
2010,Action,1795
2010,Action,5
2010,Indie,201
2010,Action,236
2010,Action,540
2010,Action,145
2010,Action,616
2011,Action,1382
2011,Action,285
2011,Action,12744
2011,Action,1120
2011,Action,1103
2011,Action,937
2011,Action,1339
2011,Action,3025
2011,Action,1996
2011,Action,1730
2011,Action,2176
2011,Action,807
2011,Action,5097
2011,Action,680
2011,Action,690
2011,Action,937
2011,Action,419
2011,Action,2165
2011,Action,1284
2011,Action,921
2011,Action,421
2011,Action,438
2011,Action,3196
2011,Action,2718
2011,Action,1728
2011,Action,1118
2011,Action,3833
2011,Action,2167
2011,Action,100
2011,Action,1660
2011,Action,831
2011,Action,71
2011,Action,2555
2011,Action,7084
2010,Action,262
2010,Simulation,1042
2010,Simulation,814
2010,Simulation,73
2010,Strategy,1360
2010,Strategy,2452
2010,Strategy,435
2010,Strategy,264
2010,Strategy,1004
2010,Strategy,1284
2010,Strategy,277
2010,Strategy,6453
2010,Strategy,167
2010,Strategy,386
2010,Strategy,9032
2010,Strategy,10650
2010,Strategy,11615
2010,Strategy,1198
2010,Strategy,7651
2010,Strategy,1622
2010,Strategy,4187
2002,Strategy,3624
2010,Adventure,858
2010,Casual,728
2010,Casual,11635
2010,Simulation,126
2010,Simulation,10
2010,Strategy,7250
2010,Strategy,7250
2010,Strategy,7250
2010,Strategy,7250
2010,Strategy,25902
2010,Strategy,6717
2010,Strategy,7785
2010,Strategy,46926
2010,Strategy,22101
2010,Strategy,22101
2010,Strategy,22101
2010,Strategy,22101
2010,Strategy,33275
2010,Strategy,38530
2010,Strategy,50156
2010,Strategy,52135
2010,Strategy,57800
2010,Strategy,7716
2010,Strategy,11311
2010,Strategy,11311
2010,Strategy,11311
2010,Strategy,11311
2010,Strategy,7849
2010,Strategy,1549
2010,Strategy,8572
2010,Strategy,3986
2010,Strategy,15296
2010,Strategy,4640
2010,Strategy,12622
2010,Strategy,9324
2010,Strategy,32617
2010,Strategy,5129
2010,Strategy,10684
2010,Strategy,34863
2010,Strategy,5413
2010,Strategy,38330
2010,Strategy,19044
2010,Strategy,11518
2010,Strategy,205
2010,Strategy,10888
2010,Strategy,4794
2010,Strategy,4160
2010,Strategy,19140
2010,Strategy,3637
2010,Strategy,2689
2010,Strategy,11700
2010,Strategy,1658
2010,Strategy,17653
2010,Strategy,9332
2010,Strategy,4611
2010,Strategy,9954
2010,Strategy,11142
2010,Strategy,21755
2010,Strategy,6008
2010,Strategy,44373
2010,Strategy,9574
2010,Strategy,21515
2010,Strategy,6098
2010,Strategy,13078
2010,Strategy,31972
2010,Strategy,201
2010,Strategy,6393
2010,Strategy,11266
2010,Strategy,14947
2010,Strategy,3735
2010,Strategy,688
2010,Strategy,11220
2010,Strategy,11220
2010,Strategy,11220
2010,Strategy,11220
2010,Strategy,18673
2010,Strategy,18673
2010,Strategy,18673
2010,Strategy,18673
2010,Strategy,3290
2010,Strategy,988
2010,Strategy,2555
2010,Strategy,11208
2010,Strategy,18487
2010,Strategy,13676
2010,Strategy,16310
2010,Strategy,1429
2010,Strategy,13089
2010,Strategy,4872
2010,Strategy,4962
2010,Strategy,2180
2010,Strategy,28788
2010,Strategy,13564
2010,Strategy,18338
2010,Strategy,6276
2010,Strategy,3433
2010,Strategy,10715
2010,Strategy,639
2010,Strategy,5326
2010,Strategy,29035
2010,Strategy,9540
2010,Strategy,8631
2010,Strategy,2518
2010,Strategy,2518
2010,Strategy,2518
2010,Strategy,2518
2010,Strategy,5773
2010,Strategy,34955
2010,Strategy,2848
2010,Strategy,9445
2010,Strategy,32852
2010,Strategy,1870
2010,Strategy,13196
2010,Strategy,2392
2010,Strategy,5182
2010,Strategy,11003
2010,Strategy,7786
2010,Strategy,13654
2010,Strategy,11566
2010,Strategy,12742
2010,Strategy,14097
2010,Strategy,48812
2010,Strategy,2764
2010,Strategy,857
2010,Strategy,46748
2010,Strategy,2469
2010,Strategy,4329
2010,Strategy,5560
2010,Strategy,24860
2010,Strategy,1658
2010,Strategy,5648
2010,Strategy,19774
2010,Strategy,37197
2010,Strategy,6412
2010,Strategy,35196
2010,Strategy,7318
2010,Strategy,18730
2010,Strategy,3123
2010,Strategy,31677
2010,Strategy,9436
2010,Strategy,24468
2010,Strategy,1862
2010,Strategy,7450
2010,Strategy,15403
2010,Strategy,66799
2010,Strategy,5808
2010,Strategy,6111
2010,Strategy,10970
2010,Strategy,24701
2010,Strategy,55434
2010,Strategy,11320
2010,Strategy,1572
2010,Strategy,408
2010,Strategy,995
2010,Strategy,442
2010,Strategy,22069
2010,Strategy,42355
2010,Strategy,35756
2010,Strategy,28772
2010,Strategy,26877
2010,Strategy,3603
2010,Strategy,8750
2010,Strategy,99814
2010,Strategy,2490
2010,Strategy,23536
2010,Strategy,1726
2010,Strategy,1009
2010,Strategy,3044
2010,Strategy,2849
2010,Strategy,1584
2010,Strategy,25892
2010,Strategy,27111
2010,Strategy,2216
2010,Strategy,6561
2010,Strategy,19907
2010,Strategy,6899
2010,Strategy,25634
2010,Strategy,4093
2010,Strategy,3874
2010,Strategy,18045
2010,Strategy,15086
2010,Strategy,10344
2010,Strategy,1584
2010,Strategy,24240
2010,Strategy,10769
2010,Strategy,499
2010,Strategy,5998
2010,Strategy,28
2010,Strategy,28495
2010,Strategy,3526
2010,Strategy,2297
2010,Strategy,16611
2010,Strategy,119926
2010,Strategy,1406
2010,Strategy,1624
2010,Strategy,17937
2010,Strategy,2031
2010,Strategy,10730
2010,Strategy,9826
2010,Strategy,1524
2010,Strategy,15086
2010,Strategy,33581
2010,Strategy,3181
2010,Strategy,28854
2010,Strategy,10329
2010,Strategy,29178
2010,Strategy,2243
2010,Strategy,2730
2010,Strategy,5093
2010,Strategy,38819
2010,Strategy,3369
2010,Strategy,21392
2010,Strategy,7713
2010,Strategy,27937
2010,Strategy,22835
2010,Strategy,11525
2010,Strategy,10799
2010,Strategy,4886
2010,Strategy,22368
2010,Strategy,1951
2010,Strategy,1484
2010,Strategy,10683
2010,Strategy,754
2010,Strategy,31681
2010,Strategy,12924
2010,Strategy,4882
2010,Strategy,8953
2010,Strategy,11156
2010,Strategy,6377
2010,Strategy,5709
2010,Strategy,134257
2010,Strategy,2396
2010,Strategy,5714
2010,Strategy,9902
2010,Strategy,1072
2010,Strategy,37742
2010,Strategy,3996
2010,Strategy,3527
2010,Strategy,20320
2010,Strategy,489
2010,Strategy,13329
2010,Strategy,4730
2010,Strategy,12296
2010,Strategy,5005
2010,Strategy,5394
2010,Strategy,5640
2010,Strategy,6086
2010,Strategy,4804
2010,Strategy,5871
2010,Strategy,110792
2010,Strategy,6199
2010,Strategy,25504
2010,Strategy,47170
2010,Strategy,26875
2010,Strategy,11062
2010,Strategy,16201
2010,Strategy,3648
2010,Strategy,106005
2010,Strategy,1177
2010,Strategy,25307
2010,Strategy,6806
2010,Strategy,14203
2010,Strategy,3277
2010,Strategy,4133
2010,Strategy,3819
2010,Strategy,5616
2010,Strategy,9021
2010,Strategy,1702
2010,Strategy,7078
2010,Strategy,4101
2010,Strategy,9124
2010,Strategy,17531
2010,Strategy,18805
2010,Strategy,10967
2010,Strategy,7806
2010,Strategy,5452
2010,Strategy,7601
2010,Strategy,2609
2010,Strategy,46754
2010,Strategy,1426
2010,Strategy,75
2010,Strategy,511
2010,Action,76
2010,Strategy,178
2010,Action,1775
2010,Action,124
2010,Action,40
2010,Action,140
2010,Action,248
2010,Action,410
2010,Action,997
2010,Action,305
2010,Action,533
2010,Action,298
2010,Action,1171
2010,Action,2483
2010,Action,240
2010,Action,177
2010,Action,750
2010,Action,251
2010,Action,92
2010,Action,17184
2010,Action,1275
2010,Action,16735
2010,Action,5396
2010,Action,2330
2010,Action,4640
2010,Action,2698
2010,Action,2282
2010,Action,62
2010,Action,3849
2010,Action,2014
2010,Action,2572
2010,Action,3951
2010,Action,5736
2010,Action,3287
2010,Action,1150
2010,Action,1821
2010,Action,169
2010,Action,412
2010,Action,6057
2010,Action,236
2010,Action,342
2010,Action,667
2010,Action,544
2010,Action,3793
2010,Action,3537
2010,Action,926
2010,Adventure,226
2010,Adventure,533
2010,Adventure,527
2010,Adventure,105
2010,Adventure,234
2010,Adventure,200
2002,Action,603
2002,Action,1991
2002,Action,1418
2002,Action,295
2005,Action,2707
2005,Action,39
2005,Action,96
2005,Action,253
2005,Action,4095
2005,Action,837
2005,Action,622
2005,Action,5321
2005,Action,3927
2005,Action,973
2005,Action,507
2005,Action,2913
2005,Action,5230
2005,Action,5940
2005,Action,1650
2005,Action,34
2005,Action,3140
2005,Action,2038
2005,Action,125
2005,Action,1313
2005,Action,1247
2005,Action,370
2005,Action,1225
2005,Action,388
2005,Action,2940
2005,Action,68
2005,Action,13900
2005,Action,519
2003,Action,178
2003,Action,743
2003,Action,756
2003,Action,964
2003,Action,2628
2003,Action,2074
2003,Action,2338
2003,Action,1005
2003,Action,1701
2003,Action,2917
2003,Action,510
2003,Action,55
2003,Action,1091
2003,Action,57
2011,Action,1187
2011,Action,1274
2011,Action,205
2009,Simulation,931
2009,Simulation,20912
2009,Simulation,715
2009,Simulation,1773
2009,Simulation,8801
2009,Simulation,5010
2009,Simulation,69383
2009,Simulation,2809
2009,Simulation,671
2009,Simulation,1033
2009,Simulation,6174
2009,Simulation,2061
2009,Simulation,554
2009,Simulation,13654
2009,Simulation,3076
2009,Simulation,4404
2009,Simulation,119
2011,RPG,1561
2011,RPG,216
2011,RPG,2090
2011,RPG,3138
0,Racing,5779
0,Racing,1394
0,Racing,3645
0,Racing,7675
0,Racing,63
0,Racing,1775
0,Racing,2036
2011,Action,56
2011,Action,913
2011,Action,601
2011,Action,24
2011,Strategy,7778
2011,Strategy,32366
2011,Strategy,6051
2011,Action,425
2011,Action,784
2011,Action,1380
2011,Action,1580
2011,Action,136
2011,Action,1715
2011,Action,2840
2011,Action,303
2011,Action,973
2011,Action,532
2011,Action,51
2011,Action,10
2011,Action,4623
2011,Action,100
2011,Action,3024
2011,Strategy,2827
2011,Action,45
2011,Action,883
2011,Action,313
2011,Action,1601
2011,Action,25
2011,Action,1169
2011,Action,418
2011,Action,323
2011,Action,516
2011,Action,69
2011,Action,371
2011,Action,2645
2011,Action,1752
2011,Action,10895
2011,Action,532
2011,Action,2763
2011,Strategy,31
2011,Strategy,4666
2011,Strategy,42373
2011,Strategy,6855
2011,Strategy,30511
2011,Strategy,13121
2011,Strategy,23207
2011,Strategy,4191
2011,Strategy,695
2011,Strategy,5114
2007,Strategy,1322
2007,Strategy,1567
2007,Strategy,57
2007,Strategy,1062
2011,Action,78
2011,Action,5737
2011,Action,426
2011,Action,270
2011,Action,1501
2011,Action,11988
2011,Action,40
2011,Action,283
2010,Strategy,41
2011,Strategy,65
2011,Strategy,1895
2011,Strategy,293
2011,Strategy,79
2011,Racing,14
2011,Racing,66
2011,Action,930
2011,Action,965
2011,Action,172
2011,Action,171
2012,Simulation,367
2012,Racing,163
2012,Racing,3721
2012,RPG,2811
2012,RPG,1520
2012,RPG,17
2012,Action,952
2012,Action,0
2012,Action,713
2012,Action,476
2012,Indie,159
2012,Indie,274
2012,Indie,149
2012,Indie,130
2012,Indie,40
2012,Action,32
2012,Action,1951
2012,Action,1951
2012,Action,1951
2012,Action,1951
2012,Action,1340
2012,Action,5297
2012,Action,304
2012,Action,451
2012,Action,638
2012,Action,1841
2012,Action,618
2012,Action,890
2012,Action,628
2012,Action,774
2012,Action,612
2012,Action,536
2012,Action,1537
2012,Action,2746
2012,Action,633
2012,Action,704
2012,Action,1093
2012,Action,2230
2012,Action,3151
2012,Action,753
2012,Action,1184
2012,Action,688
2012,Action,241
2012,Action,3581
2012,Action,514
2012,Action,513
2012,Action,691
2012,Action,1357
2012,Action,755
2012,Action,113
2012,Action,591
2012,Action,753
2012,Action,8859
2012,Action,129
2012,Action,1722
2012,Action,2767
2012,Indie,440
2012,Indie,217
2012,Indie,143
2012,Indie,852
2012,Indie,1118
2012,Action,13
2012,Action,812
2012,Action,12840
2012,Action,380
2012,Action,661
2012,Action,661
2012,Action,661
2012,Action,661
2012,Action,504
2012,Action,7002
2012,Action,3099
2012,Action,488
2012,Action,824
2012,Action,326
2012,Action,2838
2012,Action,3928
2012,Action,962
2012,Action,1807
2012,Action,3117
2012,Action,799
2012,Action,1229
2012,Action,245
2012,Action,725
2012,Action,5749
2012,Action,395
2012,Action,170
2012,Action,3198
2012,Action,200
2012,Action,6153
2012,Action,161
2012,Action,17144
2012,Action,2652
2012,Action,940
2012,Action,2128
2012,Action,621
2012,Action,1742
2012,Action,9841
2012,Action,177
2012,Action,19234
2012,Action,1410
2012,Action,3852
2012,Action,3872
2012,Action,288
2012,Action,445
2012,Action,120
2012,Action,13955
2012,Action,21385
2012,Action,41281
2012,Action,43739
2012,Action,37986
2012,Action,94334
2012,Action,55168
2012,Action,172753
2012,Action,21527
2012,Action,119850
2012,Action,48969
2012,Action,68487
2012,Action,91215
2012,Action,61193
2012,Action,148507
2012,Action,56450
2012,Action,22534
2012,Action,23614
2012,Action,28611
2012,Action,42273
2012,Action,115670
2012,Action,67443
2012,Action,18795
2012,Action,42748
2012,Action,131044
2012,Action,42758
2012,Action,126915
2012,Action,9915
2012,Action,3030
2012,Action,25995
2012,Action,92064
2012,Action,8031
2012,Action,15946
2012,Action,21721
2012,Action,35502
2012,Action,32206
2012,Action,32687
2012,Action,39326
2012,Action,89411
2012,Action,85681
2012,Action,76119
2012,Action,118813
2012,Action,57127
2012,Action,14524
2012,Action,339
2012,Action,118942
2012,Action,8187
2012,Action,47729
2012,Action,77163
2012,Action,24376
2012,Action,78410
2012,Action,78410
2012,Action,78410
2012,Action,78410
2012,Action,66149
2012,Action,93647
2012,Action,29070
2012,Action,49927
2012,Action,70814
2012,Action,38008
2012,Action,40044
2012,Action,106158
2012,Action,71558
2012,Action,71558
2012,Action,71558
2012,Action,71558
2012,Action,71558
2012,Action,71558
2012,Action,71558
2012,Action,71558
2012,Action,71558
2012,Action,40780
2012,Action,60302
2012,Action,11354
2012,Action,22475
2012,Action,6258
2012,Action,30280
2012,Action,198922
2012,Action,99526
2012,Action,66700
2012,Action,11030
2012,Action,20552
2012,Action,44261
2012,Action,67298
2012,Action,22663
2012,Action,24272
2012,Action,12430
2012,Action,20931
2012,Action,36538
2012,Action,30216
2012,Action,74707
2012,Action,20145
2012,Action,39672
2012,Action,70605
2012,Action,122813
2012,Action,105448
2012,Action,105759
2012,Action,22550
2012,Action,35326
2012,Action,27058
2012,Action,176022
2012,Action,40992
2012,Action,94739
2012,Action,26655
2012,Action,70001
2012,Action,19225
2012,Action,52461
2012,Action,84236
2012,Action,2363
2012,Action,74298
2012,Action,39829
2012,Action,35000
2012,Action,28340
2012,Action,126915
2012,Action,68540
2012,Action,64003
2012,Action,22489
2012,Action,44586
2012,Action,54533
2012,Action,80212
2012,Action,38589
2012,Action,108281
2012,Action,26137
2012,Action,21463
2012,Action,37854
2012,Action,32330
2012,Action,21535
2012,Action,46368
2012,Action,15790
2012,Action,92782
2012,Action,57259
2012,Action,62476
2012,Action,24528
2012,Action,93000
2012,Action,49102
2012,Action,8397
2012,Action,17592
2012,Action,29821
2012,Action,57985
2012,Action,38368
2012,Action,117740
2012,Action,23102
2012,Action,48714
2012,Action,17427
2012,Action,89359
2012,Action,3076
2012,Action,34606
2012,Action,883
2012,Action,51574
2012,Action,70506
2012,Action,24844
2012,Action,31834
2012,Action,35554
2012,Action,82230
2012,Action,76368
2012,Action,63127
2012,Action,57955
2012,Action,109401
2012,Action,48936
2012,Action,116509
2012,Action,18239
2012,Action,28616
2012,Action,19108
2012,Action,19108
2012,Action,19108
2012,Action,19108
2012,Action,78502
2012,Action,47681
2012,Action,20606
2012,Action,17298
2012,Action,124006
2012,Action,34812
2012,Action,48160
2012,Action,64068
2012,Action,35250
2012,Action,3435
2012,Action,100157
2012,Action,61678
2012,Action,18697
2012,Action,66306
2012,Action,43740
2012,Action,2742
2012,Action,29278
2012,Action,40574
2012,Action,88938
2012,Action,5527
2012,Action,47177
2012,Action,89284
2012,Action,30848
2012,Action,34369
2012,Action,41196
2012,Action,85350
2012,Action,52527
2012,Action,39549
2012,Action,45381
2012,Action,11472
2012,Action,23146
2012,Action,92372
2012,Action,50192
2012,Action,20803
2012,Action,11893
2012,Action,78025
2012,Action,9438
2012,Action,77075
2012,Action,7925
2012,Action,65823
2012,Action,55735
2012,Action,34080
2012,Action,32247
2012,Action,78157
2012,Action,11076
2012,Action,11526
2012,Action,114414
2012,Action,11012
2012,Action,32509
2012,Action,12566
